taxon	category	date	time	observer	site	temperature	latDec	longDec	source	additional source
robin	birds	2021-07-04	04:00	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
cardinal	birds	2021-07-04	04:30	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
great horned owl	birds	2021-07-20	04:20	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
cardinal	birds	2021-07-20	04:20	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
robin	birds	2021-07-20	04:20	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
great horned owl	birds	2021-07-20	05:00	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
house wren	birds	2021-07-20	05:00	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
goldfinch	birds	2021-07-20	05:15	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
white-breasted nuthatch	birds	2021-07-20	05:20	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
blue jay	birds	2021-07-20	05:20	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
great horned owl	birds	2021-07-22	04:00	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
cardinal	birds	2021-07-22	04:45	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
house wren	birds	2021-07-22	05:00	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
great horned owl	birds	2021-07-22	05:20	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
cardinal	birds	2021-07-23	05:00	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
katydid	insects	2021-07-22	20:20	Hipp, Andrew	Lyman Woods				http://botanistsfieldnotes.com/2021/07/23/robins-and-cardinals-great-horned-owls-slime-molds-and-katydids/
cardinal	birds	2021-06-25	05:00	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/19/the-week-spanning-june-and-july/
robin	birds	2021-06-25	05:00	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/19/the-week-spanning-june-and-july/
mourning dove	birds	2021-07-19	05:30	Hipp, Andrew	Otis Avenue				http://botanistsfieldnotes.com/2021/07/19/the-week-spanning-june-and-july/
cardinal	birds	2021-03-28	16:00	Hipp, Andrew	Maple Grove	45F			http://botanistsfieldnotes.com/2021/04/10/sparrow-passing-through/	field notes
robin	birds	2021-03-28	16:00	Hipp, Andrew	Maple Grove	45F			http://botanistsfieldnotes.com/2021/04/10/sparrow-passing-through/	field notes
mourning dove	birds	2021-04-02	09:00	Hipp, Andrew	Maple Grove	32F			http://botanistsfieldnotes.com/2021/04/10/sparrow-passing-through/
blue jay	birds	2021-04-02	09:00	Hipp, Andrew	Maple Grove	32F			http://botanistsfieldnotes.com/2021/04/10/sparrow-passing-through/
red-bellied woodpecker	birds	2021-04-02	09:00	Hipp, Andrew	Maple Grove	32F			http://botanistsfieldnotes.com/2021/04/10/sparrow-passing-through/
song sparrow	birds	2021-04-02	09:00	Hipp, Andrew	Maple Grove	32F			http://botanistsfieldnotes.com/2021/04/10/sparrow-passing-through/
robin	birds	2021-04-02	09:00	Hipp, Andrew	Maple Grove	32F			http://botanistsfieldnotes.com/2021/04/10/sparrow-passing-through/
yellow-rumped warbler	birds	2021-04-07	08:00	Hipp, Andrew	Lyman Woods				field notes
white-throated sparrow	birds	2021-04-10	09:00	Hipp, Andrew	Lyman Woods				field notes
wood thrush	birds	2021-04-10	09:00	Hipp, Andrew	Lyman Woods				field notes
